company,sector,cpc_code,n_total,quality_avg,quality_norm_avg,n_years,name_clean
International Business Machines Corporation,Technology,6,101091,0.49771228,-0.13926315,19,business machines
"SAMSUNG DISPLAY CO., LTD.",Technology,7,88071,0.3405186,-0.96515787,19,samsung display
CANON KABUSHIKI KAISHA,Technology,6,50632,0.35447738,-0.8824737,19,canon kabushiki kaisha
SONY GROUP CORPORATION,Technology,7,36396,0.40154698,-0.6447368,19,sony
Kabushiki Kaisha Toshiba,Technology,7,32887,0.38253757,-0.73963153,19,kabushiki kaisha toshiba
Intel Corporation,Technology,6,32383,0.53765005,0.063894734,19,intel
Fujitsu Limited,Technology,6,31780,0.37814528,-0.7714737,19,fujitsu
Microsoft Corporation,Technology,6,25119,0.6552122,0.67747366,19,microsoft
General Electric Company,Industrial,5,24667,0.40079203,0.20994736,19,general electric
LG ELECTRONICS INC.,Technology,7,23905,0.39379725,-0.7041579,19,lg electronics
"HITACHI, LTD.",Technology,6,23585,0.3980846,-0.66536844,19,hitachi
"Micron Technology, Inc.",Technology,7,23504,0.57192487,0.24210526,19,micron
SEIKO EPSON CORPORATION,Technology,6,22515,0.34390935,-0.9392105,19,seiko epson
"Hewlett-Packard Development Company, L.P.",Technology,6,21202,0.50006115,-0.144375,16,hewlett packard development l p
QUALCOMM Incorporated,Technology,7,20781,0.644604,0.60952634,19,qualcomm incorporated
MITSUBISHI ELECTRIC CORPORATION,Technology,7,20401,0.32170305,-1.0612631,19,mitsubishi electric
"SUMITOMO ELECTRIC INDUSTRIES, LTD.",Technology,7,18799,0.31737047,-1.0751579,19,sumitomo electric industries
"RICOH COMPANY, LTD.",Technology,6,17961,0.42025742,-0.55021054,19,ricoh
NEC CORPORATION,Technology,7,17956,0.35791516,-0.872579,19,nec
"Taiwan Semiconductor Manufacturing Company, Ltd.",Technology,7,17079,0.48538625,-0.21484213,19,taiwan semiconductor manufacturing
GOOGLE LLC,Technology,6,16786,0.69322765,0.844625,16,google
Siemens Aktiengesellschaft,Technology,6,16066,0.2884301,-1.2465264,19,siemens aktiengesellschaft
"HONDA MOTOR CO., LTD.",Industrial,1,15306,0.2955041,-0.45036843,19,honda motor
Apple Inc.,Technology,6,15179,0.6914585,0.80791664,12,apple
PANASONIC HOLDINGS CORPORATION,Technology,7,15147,0.3921136,-0.7,11,panasonic
TOYOTA JIDOSHA KABUSHIKI KAISHA,Industrial,1,15041,0.29684716,-0.419,19,toyota jidosha kabushiki kaisha
Texas Instruments Incorporated,Technology,7,15035,0.46250695,-0.3254737,19,texas instruments incorporated
Robert Bosch GmbH,Industrial,1,14731,0.2565213,-0.7008421,19,robert bosch
TELEFONAKTIEBOLAGET LM ERICSSON (PUBL),Technology,7,14092,0.52939254,0.013894739,19,telefonaktiebolaget lm ericsson publ
SHARP KABUSHIKI KAISHA,Technology,6,13753,0.37111524,-0.80368423,19,sharp kabushiki kaisha
"CISCO TECHNOLOGY, INC.",Technology,7,13274,0.6466002,0.6361053,19,cisco
"FORD GLOBAL TECHNOLOGIES, LLC",Industrial,1,12710,0.42030358,0.31236842,19,ford global
DENSO CORPORATION,Technology,7,12658,0.3153719,-1.099,19,denso
Xerox Corporation,Technology,6,12650,0.43571562,-0.4735263,19,xerox
"SEMICONDUCTOR ENERGY LABORATORY CO., LTD.",Technology,7,12119,0.64655906,0.62389475,19,semiconductor energy laboratory
GM GLOBAL TECHNOLOGY OPERATIONS LLC,Industrial,5,12062,0.37119928,-0.08869231,13,gm global operations
The Boeing Company,Industrial,1,11563,0.44207302,0.45721054,19,boeing
Infineon Technologies AG,Technology,7,11352,0.39671066,-0.69163156,19,infineon
HONEYWELL INTERNATIONAL INC.,Technology,6,11226,0.45472297,-0.3816842,19,honeywell
Broadcom Corporation,Technology,7,11150,0.59805083,0.38005266,19,broadcom
SK hynix Inc.,Technology,7,10931,0.33068207,-1.0168333,18,sk hynix
"AT&T Intellectual Property I, L.P.",Technology,7,10923,0.62911355,0.49391666,12,at t intellectual property i l p
Brother Kogyo Kabushiki Kaisha,Technology,6,10860,0.3345847,-1.0010526,19,brother kogyo kabushiki kaisha
FUJIFILM Corporation,Technology,6,10028,0.28461507,-1.2618,15,fujifilm
KONINKLIJKE PHILIPS ELECTRONICS NV,Technology,7,9298,0.40107638,-0.6641111,18,koninklijke philips electronics
"Microsoft Technology Licensing, LLC",Technology,6,9158,0.7407334,1.0038,5,microsoft licensing
3M INNOVATIVE PROPERTIES COMPANY,Life Sciences,2,9031,0.49754182,0.4233158,19,3m innovative properties
"Amazon Technologies, Inc.",Technology,6,8755,0.69240284,0.82084614,13,amazon
ELECTRONICS AND TELECOMMUNICATIONS RESEARCH INSTITUTE,Technology,7,8571,0.30291358,-1.1717895,19,electronics telecommunications research institute
EASTMAN KODAK COMPANY,Technology,6,8521,0.4161174,-0.5793158,19,eastman kodak
BASF SE,Life Sciences,2,8329,0.22687446,-0.8597368,19,basf se
"Advanced Micro Devices, Inc.",Technology,7,8280,0.506982,-0.09694737,19,advanced micro devices
"FUJI XEROX CO., LTD.",Technology,6,8163,0.33621398,-0.98557895,19,fuji xerox
"HUAWEI TECHNOLOGIES CO., LTD.",Technology,7,7953,0.37826154,-0.78547055,17,huawei
TENCENT TECHNOLOGY (SHENZHEN) COMPANY LIMITED,Technology,6,7948,0.28196597,-1.2498461,13,tencent shenzhen
THE REGENTS OF THE UNIVERSITY OF CALIFORNIA,Life Sciences,2,7610,0.4100089,0.0053157895,19,regents of university of california
"Applied Materials, Inc.",Technology,7,7469,0.5352844,0.04263158,19,applied materials
Hyundai Motor Company,Industrial,1,7244,0.2240438,-0.899579,19,hyundai motor
Nokia,Technology,7,7111,0.56020075,0.16094445,18,nokia
The Procter & Gamble Company,Life Sciences,0,6840,0.43583056,0.10384211,19,procter gamble
"LG Display Co., Ltd.",Technology,6,6631,0.3426012,-0.9470909,11,lg display
"Motorola, Inc.",Technology,7,6403,0.5204346,-0.006384616,13,motorola
E.I. DU PONT DE NEMOURS AND COMPANY,Life Sciences,2,6323,0.29149935,-0.5527368,19,e i du pont de nemours
Seagate Technology LLC,Technology,6,6292,0.5536259,0.13663158,19,seagate
Industrial Technology Research Institute,Technology,7,6152,0.37044412,-0.82152635,19,industrial research institute
Oracle International Corporation,Technology,6,6143,0.6874014,0.8237647,17,oracle
"Halliburton Energy Services, Inc.",Industrial,4,6133,0.54061955,1.0658947,19,halliburton energy services
LUCENT TECHNOLOGIES INC.,Technology,7,6128,0.5330457,0.06927273,11,lucent
"MURATA MANUFACTURING CO., LTD.",Technology,7,6107,0.32972214,-1.0235263,19,murata manufacturing
Schlumberger Technology Corporation,Industrial,4,6061,0.4865273,0.7504737,19,schlumberger
Renesas Electronics Corporation,Technology,7,5988,0.42223477,-0.5608889,9,renesas electronics
Sun Microsystems Inc.,Technology,6,5958,0.61955416,0.5094667,15,sun microsystems
Tokyo Electron Limited,Technology,7,5869,0.35411018,-0.8957895,19,tokyo electron
"SANYO ELECTRIC CO., LTD.",Technology,7,5860,0.29092595,-1.2198948,19,sanyo electric
"The United States of America, as represented by the Secretary of the Navy",Technology,6,5811,0.36074966,-0.86899996,19,united states of america as represented by secretary of navy
STMICROELECTRONICS S.r.l.,Technology,7,5674,0.38527694,-0.73710525,19,stmicroelectronics s r l
"Freeescale Semiconductor, Inc.",Technology,7,5506,0.50391585,-0.12371428,14,freeescale semiconductor
"HON HAI PRECISION INDUSTRY CO., LTD.",Technology,6,5488,0.2695102,-1.3162857,14,hon hai precision industry
"PANASONIC INTELLECTUAL PROPERTY MANAGEMENT CO., LTD.",Technology,7,5485,0.38586342,-0.7502,5,panasonic intellectual property management
"Medtronic, Inc.",Life Sciences,0,5439,0.6699029,1.2033159,19,medtronic
OLYMPUS CORPORATION,Technology,6,5242,0.42298734,-0.5478235,17,olympus
WINBOND ELECTRONICS CORP.,Technology,7,5213,0.42335656,-0.54105264,19,winbond electronics
Delphi Technologies,Industrial,5,5094,0.3725172,0.030000003,19,delphi
Caterpillar Inc.,Industrial,5,5026,0.39087623,0.12921052,19,caterpillar
KONINKLIJKE PHILIPS N.V.,Technology,6,4959,0.39875957,-0.6990833,12,koninklijke philips n v
"Nissan Motor Co., Ltd.",Industrial,1,4943,0.31116825,-0.3406842,19,nissan motor
Marvell International Ltd.,Technology,7,4936,0.6215379,0.49077776,18,marvell
Baker Hughes Holdings LLC,Industrial,4,4883,0.47714785,0.67326313,19,baker hughes
UNITED TECHNOLOGIES CORPORATION,Industrial,5,4789,0.3437664,-0.17142105,19,united
EMC Corporation,Technology,6,4733,0.64230627,0.604,19,emc
Alcatel Lucent,Technology,7,4694,0.49864206,-0.15799999,12,alcatel lucent
Silverbrook Research Pty Ltd,Industrial,1,4665,0.46123,0.64,14,silverbrook research pty
NIKON CORPORATION,Technology,6,4662,0.46391493,-0.3319474,19,nikon
"Hon Hai Precision Ind. Co., Ltd.",Technology,7,4586,0.33576536,-0.99464285,14,hon hai precision ind
TDK CORPORATION,Technology,7,4578,0.33444616,-1.001,19,tdk
Raytheon Company,Technology,7,4570,0.47671452,-0.26326314,19,raytheon
BlackBerry Limited,Technology,7,4531,0.6840305,0.72066665,6,blackberry
YAZAKI CORPORATION,Technology,7,4448,0.28747267,-1.2426842,19,yazaki
Covidien LP,Life Sciences,0,4409,0.818777,1.5358182,11,covidien lp
GlobalFoundries Inc.,Technology,7,4393,0.5020666,-0.15709999,10,globalfoundries
LOCKHEED MARTIN CORPORATION,Technology,6,4313,0.48390046,-0.23252633,19,lockheed martin
Thomson Licensing,Technology,7,4305,0.42742386,-0.5202105,19,thomson licensing
Monsanto Technology LLC,Life Sciences,0,4294,0.35906222,-0.26794446,18,monsanto
"Agilent Technologies, Inc.",Technology,6,4291,0.42456937,-0.5256842,19,agilent
"PIONEER HI-BRED INTERNATIONAL, INC.",Life Sciences,0,4269,0.26401472,-0.67794734,19,pioneer hi bred
Dell Products L.P.,Technology,6,4245,0.5509802,0.119166665,18,dell products l p
"BOE Technology Group Co., Ltd.",Technology,6,4197,0.27205092,-1.3072222,9,boe
Nortel Networks Limited,Technology,7,4160,0.61173457,0.47035715,14,nortel networks
Commissariat à l'Energie Atomique et aux Energies Alternatives,Technology,7,4055,0.29268116,-1.2243158,19,commissariat l energie atomique et aux energies alternatives
CORNING INCORPORATED,Life Sciences,2,4034,0.43662328,0.14247368,19,corning incorporated
"Boston Scientific Scimed, Inc.",Life Sciences,0,4002,0.7149751,1.3464117,17,boston scientific scimed
Renesas Technology Corporation,Technology,7,3839,0.466749,-0.31218183,11,renesas
"LG Chem, Ltd.",Technology,7,3806,0.2257705,-1.5775882,17,lg chem
RESEARCH IN MOTION LIMITED,Technology,7,3766,0.63036406,0.5556875,16,research in motion
Altera Corporation,Technology,7,3739,0.5829517,0.30452633,19,altera
KYOCERA Corporation,Technology,7,3733,0.34499678,-0.9515789,19,kyocera
"Kimberly-Clark Worldwide, Inc.",Life Sciences,0,3719,0.5846847,0.81752634,19,kimberly clark worldwide
ILLINOIS TOOL WORKS INC.,Industrial,1,3698,0.39656743,0.17078947,19,illinois tool works
Verizon Patent and Licensing Inc.,Technology,7,3670,0.61616796,0.40177777,9,verizon patent licensing
Au Optronics Corporation,Technology,6,3652,0.33851644,-0.98476464,17,au optronics
SAP AG,Technology,6,3616,0.647196,0.63478947,19,sap
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,Technology,6,3591,0.55007696,0.1108421,19,massachusetts institute of
