tk,grant_year,n_patents,mean_quality,cpc_code,sector,quality_norm
A,2000,122,0.5106041,6,Technology,-0.407
A,2001,332,0.48722515,6,Technology,-0.566
A,2002,312,0.4971647,6,Technology,-0.575
A,2003,387,0.49341175,6,Technology,-0.798
A,2004,644,0.50890064,6,Technology,-0.611
A,2005,558,0.44545266,6,Technology,-0.78
A,2006,468,0.4356004,6,Technology,-0.852
A,2007,282,0.4165903,6,Technology,-0.843
A,2008,261,0.41299313,6,Technology,-1.008
A,2009,178,0.41425267,6,Technology,-0.9
A,2010,124,0.39470595,6,Technology,-1.254
A,2011,115,0.40642658,6,Technology,-1.127
A,2012,106,0.39768064,6,Technology,-1.134
A,2013,83,0.39237678,6,Technology,-1.265
A,2014,92,0.38146582,6,Technology,-1.337
A,2015,49,0.33465305,6,Technology,-1.765
A,2016,65,0.37376127,6,Technology,-1.398
A,2017,65,0.3759024,6,Technology,-1.447
A,2018,48,0.38765034,6,Technology,-1.401
AA,2000,11,0.27875748,1,Industrial,-1.004
AA,2001,36,0.32105166,1,Industrial,-0.604
AA,2002,38,0.32089072,1,Industrial,-0.659
AA,2003,39,0.34971777,1,Industrial,-0.572
AA,2004,40,0.36973786,1,Industrial,-0.48
AA,2005,31,0.37463582,1,Industrial,-0.249
AA,2006,26,0.32907647,1,Industrial,-0.58
AA,2007,22,0.36506698,1,Industrial,-0.506
AA,2008,23,0.35410434,1,Industrial,-0.479
AA,2009,11,0.3242822,1,Industrial,-0.879
AA,2010,22,0.40481237,1,Industrial,-0.34
AA,2011,20,0.42595473,1,Industrial,-0.212
AA,2012,28,0.4719419,1,Industrial,-0.025
AA,2013,27,0.55506855,1,Industrial,0.432
AA,2014,29,0.43027532,1,Industrial,-0.417
AA,2015,26,0.47310385,1,Industrial,-0.217
AA,2016,25,0.47659957,1,Industrial,-0.108
AAPL,2007,81,0.72019744,6,Technology,1.224
AAPL,2008,182,0.72410774,6,Technology,1.197
AAPL,2009,289,0.73032564,6,Technology,1.193
AAPL,2010,562,0.7455444,6,Technology,1.301
AAPL,2011,675,0.7267752,6,Technology,1.227
AAPL,2012,1137,0.683843,6,Technology,0.814
AAPL,2013,1779,0.6852386,6,Technology,0.845
AAPL,2014,2008,0.6721334,6,Technology,0.692
AAPL,2015,1948,0.65274304,6,Technology,0.539
AAPL,2016,2116,0.64812344,6,Technology,0.509
AAPL,2017,2238,0.6533205,6,Technology,0.481
AAPL,2018,2164,0.65514976,6,Technology,0.516
ABBV,2012,6,0.45746943,2,Life Sciences,-0.19
ABBV,2013,90,0.40031514,2,Life Sciences,-0.505
ABBV,2014,122,0.47722867,2,Life Sciences,-0.184
ABBV,2015,130,0.58412534,2,Life Sciences,0.351
ABBV,2016,101,0.61004955,2,Life Sciences,0.395
ABBV,2017,56,0.55259717,2,Life Sciences,0.096
ABBV,2018,59,0.57461095,2,Life Sciences,0.131
ABLZF,2000,17,0.3287356,7,Technology,-1.618
ABLZF,2001,23,0.34456974,7,Technology,-1.491
ABLZF,2002,72,0.39738554,7,Technology,-1.218
ABLZF,2003,67,0.43692544,7,Technology,-1.218
ABLZF,2004,51,0.48190737,7,Technology,-0.798
ABLZF,2005,68,0.43681777,7,Technology,-0.836
ABLZF,2006,71,0.37794095,7,Technology,-1.271
ABLZF,2007,47,0.34338057,7,Technology,-1.341
ABLZF,2008,38,0.32825387,7,Technology,-1.608
ABLZF,2009,46,0.3231653,7,Technology,-1.504
ABLZF,2010,93,0.32215607,7,Technology,-1.783
ABLZF,2011,116,0.3548663,7,Technology,-1.506
ABLZF,2012,156,0.32306528,7,Technology,-1.642
ABLZF,2013,183,0.3346603,7,Technology,-1.681
ABLZF,2014,211,0.34730297,7,Technology,-1.576
ABLZF,2015,192,0.36320075,7,Technology,-1.558
ABLZF,2016,161,0.3757072,7,Technology,-1.385
ABLZF,2017,29,0.38386554,7,Technology,-1.392
ABLZF,2018,18,0.38535973,7,Technology,-1.417
ABNB,2016,1,0.6019238,6,Technology,0.188
ABNB,2017,4,0.6886541,6,Technology,0.727
ABNB,2018,2,0.63633823,6,Technology,0.381
